Key,Value
id,29611
zipCode,29611
saleData.lastUpdatedDate,2024-10-14T00:00:00.000Z
saleData.averagePrice,291933
saleData.medianPrice,276990
saleData.minPrice,20000
saleData.maxPrice,1500000
saleData.averagePricePerSquareFoot,186.53
saleData.medianPricePerSquareFoot,178
saleData.minPricePerSquareFoot,64.9
saleData.maxPricePerSquareFoot,500
saleData.averageSquareFootage,1698
saleData.medianSquareFootage,1600
saleData.minSquareFootage,610
saleData.maxSquareFootage,4588
saleData.averageDaysOnMarket,67.21
saleData.medianDaysOnMarket,45
saleData.minDaysOnMarket,2
saleData.maxDaysOnMarket,348
saleData.newListings,21
saleData.totalListings,265
saleData.dataByPropertyType[0].propertyType,Condo
saleData.dataByPropertyType[0].averagePrice,144900
saleData.dataByPropertyType[0].medianPrice,144900
saleData.dataByPropertyType[0].minPrice,144900
saleData.dataByPropertyType[0].maxPrice,144900
saleData.dataByPropertyType[0].averagePricePerSquareFoot,129.26
saleData.dataByPropertyType[0].medianPricePerSquareFoot,129.26
saleData.dataByPropertyType[0].minPricePerSquareFoot,129.26
saleData.dataByPropertyType[0].maxPricePerSquareFoot,129.26
saleData.dataByPropertyType[0].averageSquareFootage,1121
saleData.dataByPropertyType[0].medianSquareFootage,1121
saleData.dataByPropertyType[0].minSquareFootage,1121
saleData.dataByPropertyType[0].maxSquareFootage,1121
saleData.dataByPropertyType[0].averageDaysOnMarket,61
saleData.dataByPropertyType[0].medianDaysOnMarket,61
saleData.dataByPropertyType[0].minDaysOnMarket,61
saleData.dataByPropertyType[0].maxDaysOnMarket,61
saleData.dataByPropertyType[0].newListings,0
saleData.dataByPropertyType[0].totalListings,1
saleData.dataByPropertyType[1].propertyType,Land
saleData.dataByPropertyType[1].averagePrice,235056
saleData.dataByPropertyType[1].medianPrice,90000
saleData.dataByPropertyType[1].minPrice,20000
saleData.dataByPropertyType[1].maxPrice,1500000
saleData.dataByPropertyType[1].averagePricePerSquareFoot,
saleData.dataByPropertyType[1].medianPricePerSquareFoot,
saleData.dataByPropertyType[1].minPricePerSquareFoot,
saleData.dataByPropertyType[1].maxPricePerSquareFoot,
saleData.dataByPropertyType[1].averageSquareFootage,
saleData.dataByPropertyType[1].medianSquareFootage,
saleData.dataByPropertyType[1].minSquareFootage,
saleData.dataByPropertyType[1].maxSquareFootage,
saleData.dataByPropertyType[1].averageDaysOnMarket,137.52
saleData.dataByPropertyType[1].medianDaysOnMarket,113
saleData.dataByPropertyType[1].minDaysOnMarket,15
saleData.dataByPropertyType[1].maxDaysOnMarket,348
saleData.dataByPropertyType[1].newListings,0
saleData.dataByPropertyType[1].totalListings,32
saleData.dataByPropertyType[2].propertyType,Manufactured
saleData.dataByPropertyType[2].averagePrice,213976
saleData.dataByPropertyType[2].medianPrice,175000
saleData.dataByPropertyType[2].minPrice,39900
saleData.dataByPropertyType[2].maxPrice,850000
saleData.dataByPropertyType[2].averagePricePerSquareFoot,149.04
saleData.dataByPropertyType[2].medianPricePerSquareFoot,120.36
saleData.dataByPropertyType[2].minPricePerSquareFoot,64.9
saleData.dataByPropertyType[2].maxPricePerSquareFoot,351.97
saleData.dataByPropertyType[2].averageSquareFootage,1599
saleData.dataByPropertyType[2].medianSquareFootage,1500
saleData.dataByPropertyType[2].minSquareFootage,1000
saleData.dataByPropertyType[2].maxSquareFootage,2415
saleData.dataByPropertyType[2].averageDaysOnMarket,49
saleData.dataByPropertyType[2].medianDaysOnMarket,25
saleData.dataByPropertyType[2].minDaysOnMarket,4
saleData.dataByPropertyType[2].maxDaysOnMarket,312
saleData.dataByPropertyType[2].newListings,2
saleData.dataByPropertyType[2].totalListings,12
saleData.dataByPropertyType[3].propertyType,Multi-Family
saleData.dataByPropertyType[3].averagePrice,265000
saleData.dataByPropertyType[3].medianPrice,265000
saleData.dataByPropertyType[3].minPrice,265000
saleData.dataByPropertyType[3].maxPrice,265000
saleData.dataByPropertyType[3].averagePricePerSquareFoot,
saleData.dataByPropertyType[3].medianPricePerSquareFoot,
saleData.dataByPropertyType[3].minPricePerSquareFoot,
saleData.dataByPropertyType[3].maxPricePerSquareFoot,
saleData.dataByPropertyType[3].averageSquareFootage,
saleData.dataByPropertyType[3].medianSquareFootage,
saleData.dataByPropertyType[3].minSquareFootage,
saleData.dataByPropertyType[3].maxSquareFootage,
saleData.dataByPropertyType[3].averageDaysOnMarket,6.5
saleData.dataByPropertyType[3].medianDaysOnMarket,6
saleData.dataByPropertyType[3].minDaysOnMarket,6
saleData.dataByPropertyType[3].maxDaysOnMarket,7
saleData.dataByPropertyType[3].newListings,0
saleData.dataByPropertyType[3].totalListings,2
saleData.dataByPropertyType[4].propertyType,Single Family
saleData.dataByPropertyType[4].averagePrice,307585
saleData.dataByPropertyType[4].medianPrice,285000
saleData.dataByPropertyType[4].minPrice,85018
saleData.dataByPropertyType[4].maxPrice,750000
saleData.dataByPropertyType[4].averagePricePerSquareFoot,191.54
saleData.dataByPropertyType[4].medianPricePerSquareFoot,185.07
saleData.dataByPropertyType[4].minPricePerSquareFoot,65.3
saleData.dataByPropertyType[4].maxPricePerSquareFoot,500
saleData.dataByPropertyType[4].averageSquareFootage,1720
saleData.dataByPropertyType[4].medianSquareFootage,1600
saleData.dataByPropertyType[4].minSquareFootage,610
saleData.dataByPropertyType[4].maxSquareFootage,4588
saleData.dataByPropertyType[4].averageDaysOnMarket,62.3
saleData.dataByPropertyType[4].medianDaysOnMarket,50
saleData.dataByPropertyType[4].minDaysOnMarket,2
saleData.dataByPropertyType[4].maxDaysOnMarket,327
saleData.dataByPropertyType[4].newListings,13
saleData.dataByPropertyType[4].totalListings,173
saleData.dataByPropertyType[5].propertyType,Townhouse
saleData.dataByPropertyType[5].averagePrice,297459
saleData.dataByPropertyType[5].medianPrice,279990
saleData.dataByPropertyType[5].minPrice,119900
saleData.dataByPropertyType[5].maxPrice,765000
saleData.dataByPropertyType[5].averagePricePerSquareFoot,180.07
saleData.dataByPropertyType[5].medianPricePerSquareFoot,170.37
saleData.dataByPropertyType[5].minPricePerSquareFoot,126.34
saleData.dataByPropertyType[5].maxPricePerSquareFoot,386.84
saleData.dataByPropertyType[5].averageSquareFootage,1665
saleData.dataByPropertyType[5].medianSquareFootage,1600
saleData.dataByPropertyType[5].minSquareFootage,949
saleData.dataByPropertyType[5].maxSquareFootage,2150
saleData.dataByPropertyType[5].averageDaysOnMarket,48.33
saleData.dataByPropertyType[5].medianDaysOnMarket,24
saleData.dataByPropertyType[5].minDaysOnMarket,2
saleData.dataByPropertyType[5].maxDaysOnMarket,347
saleData.dataByPropertyType[5].newListings,6
saleData.dataByPropertyType[5].totalListings,45
saleData.dataByBedrooms[0].bedrooms,1
saleData.dataByBedrooms[0].averagePrice,186725
saleData.dataByBedrooms[0].medianPrice,153000
saleData.dataByBedrooms[0].minPrice,147900
saleData.dataByBedrooms[0].maxPrice,237000
saleData.dataByBedrooms[0].averagePricePerSquareFoot,240.84
saleData.dataByBedrooms[0].medianPricePerSquareFoot,191.01
saleData.dataByBedrooms[0].minPricePerSquareFoot,184.88
saleData.dataByBedrooms[0].maxPricePerSquareFoot,342.62
saleData.dataByBedrooms[0].averageSquareFootage,795
saleData.dataByBedrooms[0].medianSquareFootage,800
saleData.dataByBedrooms[0].minSquareFootage,610
saleData.dataByBedrooms[0].maxSquareFootage,968
saleData.dataByBedrooms[0].averageDaysOnMarket,123
saleData.dataByBedrooms[0].medianDaysOnMarket,56
saleData.dataByBedrooms[0].minDaysOnMarket,20
saleData.dataByBedrooms[0].maxDaysOnMarket,314
saleData.dataByBedrooms[0].newListings,0
saleData.dataByBedrooms[0].totalListings,4
saleData.dataByBedrooms[1].bedrooms,2
saleData.dataByBedrooms[1].averagePrice,241458
saleData.dataByBedrooms[1].medianPrice,247000
saleData.dataByBedrooms[1].minPrice,39900
saleData.dataByBedrooms[1].maxPrice,535000
saleData.dataByBedrooms[1].averagePricePerSquareFoot,209.67
saleData.dataByBedrooms[1].medianPricePerSquareFoot,200.89
saleData.dataByBedrooms[1].minPricePerSquareFoot,65.3
saleData.dataByBedrooms[1].maxPricePerSquareFoot,386.84
saleData.dataByBedrooms[1].averageSquareFootage,1171
saleData.dataByBedrooms[1].medianSquareFootage,1077
saleData.dataByBedrooms[1].minSquareFootage,833
saleData.dataByBedrooms[1].maxSquareFootage,2292
saleData.dataByBedrooms[1].averageDaysOnMarket,71.94
saleData.dataByBedrooms[1].medianDaysOnMarket,53
saleData.dataByBedrooms[1].minDaysOnMarket,2
saleData.dataByBedrooms[1].maxDaysOnMarket,347
saleData.dataByBedrooms[1].newListings,3
saleData.dataByBedrooms[1].totalListings,49
saleData.dataByBedrooms[2].bedrooms,3
saleData.dataByBedrooms[2].averagePrice,281817
saleData.dataByBedrooms[2].medianPrice,279500
saleData.dataByBedrooms[2].minPrice,64900
saleData.dataByBedrooms[2].maxPrice,765000
saleData.dataByBedrooms[2].averagePricePerSquareFoot,182.21
saleData.dataByBedrooms[2].medianPricePerSquareFoot,177.76
saleData.dataByBedrooms[2].minPricePerSquareFoot,64.9
saleData.dataByBedrooms[2].maxPricePerSquareFoot,500
saleData.dataByBedrooms[2].averageSquareFootage,1613
saleData.dataByBedrooms[2].medianSquareFootage,1587
saleData.dataByBedrooms[2].minSquareFootage,700
saleData.dataByBedrooms[2].maxSquareFootage,2800
saleData.dataByBedrooms[2].averageDaysOnMarket,46.78
saleData.dataByBedrooms[2].medianDaysOnMarket,36
saleData.dataByBedrooms[2].minDaysOnMarket,2
saleData.dataByBedrooms[2].maxDaysOnMarket,203
saleData.dataByBedrooms[2].newListings,13
saleData.dataByBedrooms[2].totalListings,133
saleData.dataByBedrooms[3].bedrooms,4
saleData.dataByBedrooms[3].averagePrice,403217
saleData.dataByBedrooms[3].medianPrice,399900
saleData.dataByBedrooms[3].minPrice,119900
saleData.dataByBedrooms[3].maxPrice,750000
saleData.dataByBedrooms[3].averagePricePerSquareFoot,172.89
saleData.dataByBedrooms[3].medianPricePerSquareFoot,151.58
saleData.dataByBedrooms[3].minPricePerSquareFoot,128.61
saleData.dataByBedrooms[3].maxPricePerSquareFoot,329.63
saleData.dataByBedrooms[3].averageSquareFootage,2371
saleData.dataByBedrooms[3].medianSquareFootage,2100
saleData.dataByBedrooms[3].minSquareFootage,1560
saleData.dataByBedrooms[3].maxSquareFootage,3499
saleData.dataByBedrooms[3].averageDaysOnMarket,64.31
saleData.dataByBedrooms[3].medianDaysOnMarket,50
saleData.dataByBedrooms[3].minDaysOnMarket,2
saleData.dataByBedrooms[3].maxDaysOnMarket,210
saleData.dataByBedrooms[3].newListings,5
saleData.dataByBedrooms[3].totalListings,39
saleData.dataByBedrooms[4].bedrooms,5
saleData.dataByBedrooms[4].averagePrice,506874
saleData.dataByBedrooms[4].medianPrice,425000
saleData.dataByBedrooms[4].minPrice,345000
saleData.dataByBedrooms[4].maxPrice,850000
saleData.dataByBedrooms[4].averagePricePerSquareFoot,173.42
saleData.dataByBedrooms[4].medianPricePerSquareFoot,151.07
saleData.dataByBedrooms[4].minPricePerSquareFoot,108.55
saleData.dataByBedrooms[4].maxPricePerSquareFoot,351.97
saleData.dataByBedrooms[4].averageSquareFootage,3162
saleData.dataByBedrooms[4].medianSquareFootage,2990
saleData.dataByBedrooms[4].minSquareFootage,2152
saleData.dataByBedrooms[4].maxSquareFootage,4588
saleData.dataByBedrooms[4].averageDaysOnMarket,115.14
saleData.dataByBedrooms[4].medianDaysOnMarket,44
saleData.dataByBedrooms[4].minDaysOnMarket,3
saleData.dataByBedrooms[4].maxDaysOnMarket,327
saleData.dataByBedrooms[4].newListings,0
saleData.dataByBedrooms[4].totalListings,8
saleData.history.2024-08.date,2024-08-01T00:00:00.000Z
saleData.history.2024-08.averagePrice,304256
saleData.history.2024-08.medianPrice,284900
saleData.history.2024-08.minPrice,75000
saleData.history.2024-08.maxPrice,975000
saleData.history.2024-08.averagePricePerSquareFoot,177.79
saleData.history.2024-08.medianPricePerSquareFoot,174.82
saleData.history.2024-08.minPricePerSquareFoot,115.81
saleData.history.2024-08.maxPricePerSquareFoot,342.62
saleData.history.2024-08.averageSquareFootage,1759
saleData.history.2024-08.medianSquareFootage,1591
saleData.history.2024-08.minSquareFootage,610
saleData.history.2024-08.maxSquareFootage,4588
saleData.history.2024-08.averageDaysOnMarket,56.94
saleData.history.2024-08.medianDaysOnMarket,41
saleData.history.2024-08.minDaysOnMarket,2
saleData.history.2024-08.maxDaysOnMarket,327
saleData.history.2024-08.newListings,56
saleData.history.2024-08.totalListings,215
saleData.history.2024-08.dataByPropertyType[0].propertyType,Condo
saleData.history.2024-08.dataByPropertyType[0].averagePrice,175445
saleData.history.2024-08.dataByPropertyType[0].medianPrice,154500
saleData.history.2024-08.dataByPropertyType[0].minPrice,154500
saleData.history.2024-08.dataByPropertyType[0].maxPrice,196390
saleData.history.2024-08.dataByPropertyType[0].averagePricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].medianPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].minPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].maxPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].averageSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].medianSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].minSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].maxSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].averageDaysOnMarket,124
saleData.history.2024-08.dataByPropertyType[0].medianDaysOnMarket,18
saleData.history.2024-08.dataByPropertyType[0].minDaysOnMarket,18
saleData.history.2024-08.dataByPropertyType[0].maxDaysOnMarket,230
saleData.history.2024-08.dataByPropertyType[0].newListings,1
saleData.history.2024-08.dataByPropertyType[0].totalListings,2
saleData.history.2024-08.dataByPropertyType[1].propertyType,Land
saleData.history.2024-08.dataByPropertyType[1].averagePrice,422500
saleData.history.2024-08.dataByPropertyType[1].medianPrice,75000
saleData.history.2024-08.dataByPropertyType[1].minPrice,75000
saleData.history.2024-08.dataByPropertyType[1].maxPrice,770000
saleData.history.2024-08.dataByPropertyType[1].averagePricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].medianPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].minPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].maxPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].averageSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].medianSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].minSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].maxSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].averageDaysOnMarket,174
saleData.history.2024-08.dataByPropertyType[1].medianDaysOnMarket,112
saleData.history.2024-08.dataByPropertyType[1].minDaysOnMarket,112
saleData.history.2024-08.dataByPropertyType[1].maxDaysOnMarket,236
saleData.history.2024-08.dataByPropertyType[1].newListings,0
saleData.history.2024-08.dataByPropertyType[1].totalListings,2
saleData.history.2024-08.dataByPropertyType[2].propertyType,Manufactured
saleData.history.2024-08.dataByPropertyType[2].averagePrice,255856
saleData.history.2024-08.dataByPropertyType[2].medianPrice,175000
saleData.history.2024-08.dataByPropertyType[2].minPrice,99000
saleData.history.2024-08.dataByPropertyType[2].maxPrice,975000
saleData.history.2024-08.dataByPropertyType[2].averagePricePerSquareFoot,122.27
saleData.history.2024-08.dataByPropertyType[2].medianPricePerSquareFoot,122.27
saleData.history.2024-08.dataByPropertyType[2].minPricePerSquareFoot,122.27
saleData.history.2024-08.dataByPropertyType[2].maxPricePerSquareFoot,122.27
